date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:14:10	168/168	---MCZ	200	added ('OK')	application/json	etag:W/%22page-data/sq/d/63159454.427354a094.json%22	https://ezek.io/page-data/sq/d/63159454.json	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/page-data/sq/d/63159454.json	(from https://ezek.io/)
02:14:11	50/50	---MCZ	200	added ('OK')	application/json	etag:W/%22page-data/app-data.6806041949.json%22	https://ezek.io/page-data/app-data.json	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/page-data/app-data.json	(from https://ezek.io/)
02:14:11	35662/35662	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Jan%202022%2007:13:34%20GMT	https://ezek.io/cdn-cgi/bm/cv/669835187/api.js	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/cdn-cgi/bm/cv/669835187/api.js	(from https://ezek.io/)
02:14:11	321565/321565	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jan%202022%2007:13:34%20GMT	https://ezek.io/products	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/products.html	(from https://ezek.io/)
02:14:11	354706/354706	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jan%202022%2007:13:35%20GMT	https://ezek.io/buy	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/buy.html	(from https://ezek.io/)
02:14:12	331162/331162	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jan%202022%2007:13:35%20GMT	https://ezek.io/about	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/about.html	(from https://ezek.io/)
02:14:12	22181/22181	---M--	200	added ('OK')	image/png	etag:%22static/phanta-5c2ead1b2f692f62608121e219ccdf95.5096202aca.png%22	https://ezek.io/static/phanta-5c2ead1b2f692f62608121e219ccdf95.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/static/phanta-5c2ead1b2f692f62608121e219ccdf95.png	(from https://ezek.io/)
02:14:12	15558/15558	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jan%202022%2007:13:35%20GMT	https://ezek.io/static/matrixLogo-7e8480b18e74cd1a9042feaccb311ffc.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/static/matrixLogo-7e8480b18e74cd1a9042feaccb311ffc.png	(from https://ezek.io/)
02:14:12	1177/1177	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jan%202022%2007:13:36%20GMT	https://ezek.io/static/9ffea117aa714f08ae618873399ff81f/e8928/logo.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/static/9ffea117aa714f08ae618873399ff81f/e8928/logo.png	(from https://ezek.io/)
02:14:13	85804/85804	---MCZ	200	added ('OK')	application/javascript	etag:W/%22polyfill-c6b64a8c9fc21cd1250d.c3ec0f1e3a.js%22	https://ezek.io/polyfill-c6b64a8c9fc21cd1250d.js	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/polyfill-c6b64a8c9fc21cd1250d.js	(from https://ezek.io/)
02:14:13	22616/22616	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2014%20Jan%202022%2007:13:36%20GMT	https://ezek.io/component---src-pages-all-productions-index-tsx-efe686dec792c2c1dae1.js	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/component---src-pages-all-productions-index-tsx-efe686dec792c2c1dae1.js	(from https://ezek.io/products)
02:14:13	176/176	---MCZ	200	added ('OK')	application/json	etag:W/%22page-data/products/page-data.fd32059a51.json%22	https://ezek.io/page-data/products/page-data.json	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/page-data/products/page-data.json	(from https://ezek.io/products)
